case_id,activity,enable_time,start_time,end_time,resource
15,AML check,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_14
15,Appraise property,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_3
16,Appraise property,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_9
16,Check credit history,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:51:40.000000+00:00,UnifiedResource_6
16,AML check,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_2
17,AML check,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_16
17,Appraise property,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_1
17,Check credit history,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:51:40.000000+00:00,UnifiedResource_17
18,Check credit history,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:51:40.000000+00:00,UnifiedResource_12
18,Appraise property,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_8
18,AML check,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:25:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_5
19,Check application form completeness,2025-06-24 09:30:00.000000+00:00,2025-06-24 09:30:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,UnifiedResource_7
13,Approve loan offer,2025-06-24 09:44:10.000000+00:00,2025-06-24 09:44:10.000000+00:00,2025-06-24 09:59:10.000000+00:00,UnifiedResource_4
14,Assess loan risk,2025-06-24 09:55:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,2025-06-24 10:24:10.000000+00:00,UnifiedResource_13
15,Assess loan risk,2025-06-24 09:55:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,2025-06-24 10:24:10.000000+00:00,UnifiedResource_0
16,Assess loan risk,2025-06-24 09:55:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,2025-06-24 10:24:10.000000+00:00,UnifiedResource_10
17,Assess loan risk,2025-06-24 09:55:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,2025-06-24 10:24:10.000000+00:00,UnifiedResource_15
18,Assess loan risk,2025-06-24 09:55:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,2025-06-24 10:24:10.000000+00:00,UnifiedResource_6
19,AML check,2025-06-24 09:55:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,2025-06-24 10:25:00.000000+00:00,UnifiedResource_17
19,Check credit history,2025-06-24 09:55:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,2025-06-24 10:21:40.000000+00:00,UnifiedResource_12
19,Appraise property,2025-06-24 09:55:00.000000+00:00,2025-06-24 09:55:00.000000+00:00,2025-06-24 10:25:00.000000+00:00,UnifiedResource_18
